,Frekuensi
tidak bisa login,20
to log in,16
gak bisa login,14
game nya bagus,14
login aja susah,14
fix the server,12
please fix the,12
try login again,12
mau login aja,11
tolong di perbaiki,10
can log in,10
aja susah banget,7
the game is,7
please fix it,7
please try again,7
